symbols,time,rates_usd
btc_usd,2023-10-15 08:20:18,26889.190000000002
avax_usd,2023-10-15 09:14:02,9.10988268
link_usd,2023-10-15 06:48:19,7.31824743
ETH_USD,2024-10-25 08:20:26,2542.50
dai_usd,2023-10-14 13:56:48,0.99991403
aave_usd,2023-10-15 05:10:07,64.03059999999999
frax_usd,2023-10-14 13:46:15,0.99959857
sushi_usd,2023-10-15 06:05:42,0.54383573
usdc_usd,2023-10-15 01:00:23,1.00009637
