tick,liquidityGross,liquidityNet,feeGrowthOut0,feeGrowthOut1,tickCumulativeOut,secsPerLiquidity,secsOut,initialized
-887220,31624312412629951771593508,31624312412629951771593508,0,0,0,0,1685375483,True
887220,31624312412629951771593508,-31624312412629951771593508,0,0,0,0,0,True
-307669,0,0,0,0,0,0,0,0
