pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X2c395a04b0642d2b7690117d86f06541932728a3,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xebdf7f7dfac29949b493d4d1c9f60648f29428a6,3000
0Xbe07759a1e9dbfdc9212e63967e86f63bf8361c5,NA,NA,NA,0003c,0x481aeac57ed8b16c528b60f490366730adf8a491,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X53092bfd1f91a881201ce5d1f575ee3194adb6f4,NA,NA,NA,0003c,0x1fefd6e697b6920544d3ffdfccb0084ce4eb7e44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xfba26c3f9c8ecef989def3c5c8ad037487462d83,NA,NA,NA,0003c,0xb1f1ee126e9c96231cc3d3fad7c08b4cf873b1f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xb44cb18baf987725b668a64202ac256a61e3b89a,NA,NA,NA,0003c,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xbaac2b4491727d78d2b78815144570b9f2fe8899,3000
0X2674146a49a3685dea585c710c2e4cdb2db94e3f,NA,NA,NA,0003c,0x6efa8111f994b476d3656f85ee9cc5ffa0e9b8d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X1089492c0e70fa48998c8c60ae895fbe9a50ddb3,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe1dc698570bef4f9972d2d1d5e1b749989de341a,3000
0Xb8e57ad82fef393d2e3415f9e5b7916599850bc8,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc1750d4ef91486005a140f609a9e06cda680f13d,3000
0Xb208e29a0c726201696be0296c422b665043399b,NA,NA,NA,0003c,0xb496d189039127b9d4882881dca4dbb2eb5426a0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xa6656d691a80b01126d23ef9268212b74abcfaf5,NA,NA,NA,0003c,0x96ac8b252e1a9b75418964849f1985aef3798db0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xbcfd88dcde22a98fd15a87545fde4f7a419092c6,NA,NA,NA,0003c,0xafd87df001ba1c9d051656eaae487ce8ae0dea37,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X7ed5e55dc172beae2bf23a10e7becc980dbd4e4f,NA,NA,NA,0003c,0x6eefd0dd13d8e92ba942ff55b14e2d511dd5ff77,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X0ed56b8bb7b7592fbc476ab2c27d96ae9145f4fc,NA,NA,NA,000c8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xcdb4a8742ed7d0259b51e3454c46c9d6c48d5e88,10000
0Xa28c4c450aa9b4f7f52f4ed8072d72e8d38fcb3c,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcdb4a8742ed7d0259b51e3454c46c9d6c48d5e88,10000
0X38eac00c7170aee9e8d0feed6877593792dcbb58,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd555498a524612c67f286df0e0a9a64a73a7cdc7,10000
0Xebb81820eca388b83ed7187717c6b4c137f697fe,NA,NA,NA,0003c,0x5bd0293f29d40d982f33f41effc0e23d6c7d20e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X9ffdbede2ce676cd215aaaea26262a5e683451cd,NA,NA,NA,0003c,0x10f2e2d39085acd1d815d8a8ea0e3f9bfeb7173e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X7eeb65b2978d8f1d27d66324939480dafe9ffb09,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd1bc5339ffeba535259e3d7dfb7dde49aca5d22,10000
0X8fdf09a4fe7ee9fd0dd1864fea334723bf645a82,NA,NA,NA,000c8,0x80c6fa7a67b5e8a4b365315207c89d588152144c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X932573fac2ddef5e175139dbbcd1e7176efc902a,NA,NA,NA,000c8,0x05596878026e4f5289b7d83958304c0d17fc043f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X7d6580bf14fda02059ef44fe22907928289d19e4,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd96bb2e793f338765b723c88b4df011902d3fb98,10000
0Xef5ff1c6cf479d193b79a8a8492d856e231e67d6,NA,NA,NA,000c8,0x0e236c3932887cdc57c887dd97dec82236d1b400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xc5d8b973a9107706de1c5868b31687ea3a67b527,NA,NA,NA,000c8,0x98478961fac1c2bd925759c7a5e0333ca6814a84,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X6ad9afd7ec0ff6f3fa4863e1d99059eaa0d2bd0c,NA,NA,NA,000c8,0x4e34ffb1e0d20307a0f5a750f9c9990ce3403073,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X7c6776bac3ea54878a2ddc3fd1c26ef87c8f255f,NA,NA,NA,000c8,0x6c061d18d2b5bbfbe8a8d1eeb9ee27efd544cc5d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xf52180b39551178c5a7d846472693911374d4b74,NA,NA,NA,000c8,0x0fc3ad8a057076c4a2e4764aeffc07956b4d6fe7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xce077fd0ec74ea59751fb9c112f3126b54dd83b9,NA,NA,NA,000c8,0x55e0450adaf1d770d6fcc5ea4997b6651fd61d25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X50655331cd3c3af0ade8a9b978956e27d3d1c375,NA,NA,NA,000c8,0x246f72e6e9ee6eca8d1ceeff635ad5478123c557,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X1a280f1593832394c064162ca223777519cee8d2,NA,NA,NA,000c8,0xa10ea926ebffd95e06f958c42570ff79ac2fb70c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X01be88089ca25285a9bf68ee3702d7ee8c15df0b,NA,NA,NA,000c8,0x0cbed74834ad24bb3bb4654398a0697a2bbea02c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xb70ae648f4433b54a985994f36c8c9845810b41b,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe656ce7c4bd33d7740b815a7ed8ebe28591d51f3,3000
0X4438167f38a9c27231004922414ba66f1c8bb3c3,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7f3fff8c350122e962345af346490ac77b68d59,3000
0X339643c445e807756b3d4dd5cd29859ab0d35b6f,NA,NA,NA,000c8,0x0883acead44d329a745af44e561e23d748f0b6c6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xd80029128c09f492444166a332844353b3fc184c,NA,NA,NA,0003c,0x3add0c6b51e1526f3b4ffbb5de4efe1dc3990439,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
