pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee,L_percent_change
0Xdfada3dbe4c0cdd3fefcb6ff7d4e16da0a77a7a4,PEPUMP_WETH,0,0,1,0x790Bb2123001A9A69DA914BaC61E4c935c31d6b6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,100,NA
0Xda9e07e92e31723075b24717b69269bc500ee807,COQ_USDC,0,-409292,60,0x4afc4522E896aeaCc83eA5322708aB64A9DE5d1D,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,NA
0X40222c2aedeaccf919963a13d63ea9aa04689eea,COQ_USDC,0,-410142,10,0x4afc4522E896aeaCc83eA5322708aB64A9DE5d1D,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,NA
0X8a3f83f95510bf5c57231b29c59f13734a03c5dc,MOEX_WETH,22426556446248264486336,-210188,200,0x69000008CBf4012F6ce45c42a559945DBd6eC3b7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0Xaae89ff623887031b8309134208bbd6cabe34e7c,tMEV_WETH,1000000000003783,46056,200,0x492C11055C7E9233A2Adc2e82Bf384fD79d2a675,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X2daf87b2a135e883a94982370629d64cdea55bce,MSFT_WETH,22175684032747656116900,-200505,200,0x2280000ce6c0217983e990B009Da7370FcC195C9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X74edf4f157e23d87b25a0c372dea9cf641e3efe9,tMEV_WETH,0,99039,200,0x117eA364dC4189732D8196cFBF89A41A7515e4c7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0Xfabef411761a67315d04b0590ca2c43d57835bb8,WETH_tMEV,0,-99040,200,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCf06ac2f0f67bbc7098b45aDC68A86aD6d9c6DEA,10000,NA
0Xb90326664bae75ad7fa889d07965eec7d0fbe70d,WETH_eEIGEN,2796559965669833889842,69077,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE77076518A813616315EaAba6cA8e595E845EeE9,3000,NA
0X29567ae23d65225870c5bd738a6debe7ac5a1d66,LRT2_WETH,236627638164391287810,-4308,200,0x8F08B70456eb22f6109F57b8fafE862ED28E6040,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X20908ac19ae81b28d5bbef41a5a32d1ea827ebd2,LRT2_WETH,0,0,60,0x8F08B70456eb22f6109F57b8fafE862ED28E6040,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X14c32c78639ea31e9d0571b8f9bdc2e7e3d93ca3,XIAO_WETH,0,-192316,200,0x1a08886418Cfb178f673323d053Be34523b61F9a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X602cb3931406c9b98cc328ab406e50d6a32e559c,TRUF_WETH,12323704213686705152539,-108142,200,0x243c9be13fAbA09F945ccc565547293337Da0Ad7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0Xe547c6d5039d1902db58102e7f52410dbc5b0708,WETH_USDS,0,0,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdC035D45d973E3EC169d2276DDab16f1e407384F,500,NA
---
multiple_event_blocks
19186476,19938307,19938307
----
zero_event_blocks
16349812,16349860,16456334,16640667,16640801,16640812,16718031,17007526,17320036,17327840,17327845,17345063,17345169,17345175,17346238,17346297,17346643,17380327,17380371,17380377,17380436,17883443,17885292,19643331,19916182,19948028,19948255,19948372,19948494,19997308,19997358,20095612,20729468,20729485,20729509,20729520,20937686,20937689,20937698
----
time_updated: T
